case_id,input_text,disease_label,split,difficulty,source_page,source_basis,generation_type
T1_0001,"A patient presents with fever is present, appetite is reduced, and digestion is disturbed.",Jwara,train,easy,12,"fever with reduced appetite, thirst, indigestion, heaviness and weakness; ama-associated cases may show poor bowel movement and lack of appetite",controlled paraphrase from source-derived profile
T1_0002,"The main findings are thirst is increased, along with digestion is disturbed and weakness is noticeable.",Jwara,train,easy,12,"fever with reduced appetite, thirst, indigestion, heaviness and weakness; ama-associated cases may show poor bowel movement and lack of appetite",controlled paraphrase from source-derived profile
T1_0003,Clinical features include the body feels heavy; the patient also has weakness is noticeable and an ama-like state is described.,Jwara,train,easy,12,"fever with reduced appetite, thirst, indigestion, heaviness and weakness; ama-associated cases may show poor bowel movement and lack of appetite",controlled paraphrase from source-derived profile
T1_0004,"The presentation is characterized by bowel movement is reduced, with an ama-like state is described and appetite is reduced occurring together.",Jwara,train,easy,12,"fever with reduced appetite, thirst, indigestion, heaviness and weakness; ama-associated cases may show poor bowel movement and lack of appetite",controlled paraphrase from source-derived profile
T1_0005,A case is described with fever is present. Additional findings are appetite is reduced and digestion is disturbed.,Jwara,train,easy,12,"fever with reduced appetite, thirst, indigestion, heaviness and weakness; ama-associated cases may show poor bowel movement and lack of appetite",controlled paraphrase from source-derived profile
T1_0006,"The patient reports thirst is increased and digestion is disturbed, with weakness is noticeable also present.",Jwara,train,medium,12,"fever with reduced appetite, thirst, indigestion, heaviness and weakness; ama-associated cases may show poor bowel movement and lack of appetite",controlled paraphrase from source-derived profile
T1_0007,"The dominant complaint is the body feels heavy, accompanied by weakness is noticeable and an ama-like state is described.",Jwara,train,medium,12,"fever with reduced appetite, thirst, indigestion, heaviness and weakness; ama-associated cases may show poor bowel movement and lack of appetite",controlled paraphrase from source-derived profile
T1_0008,"On assessment, bowel movement is reduced is noted, together with an ama-like state is described and appetite is reduced.",Jwara,train,medium,12,"fever with reduced appetite, thirst, indigestion, heaviness and weakness; ama-associated cases may show poor bowel movement and lack of appetite",controlled paraphrase from source-derived profile
T1_0009,"The symptom pattern includes fever is present, appetite is reduced, and digestion is disturbed.",Jwara,train,medium,12,"fever with reduced appetite, thirst, indigestion, heaviness and weakness; ama-associated cases may show poor bowel movement and lack of appetite",controlled paraphrase from source-derived profile
T1_0010,"A typical presentation may include thirst is increased, while digestion is disturbed and weakness is noticeable are also observed.",Jwara,train,medium,12,"fever with reduced appetite, thirst, indigestion, heaviness and weakness; ama-associated cases may show poor bowel movement and lack of appetite",controlled paraphrase from source-derived profile
T1_0011,The case shows the body feels heavy; associated findings include weakness is noticeable and an ama-like state is described.,Jwara,validation,hard,12,"fever with reduced appetite, thirst, indigestion, heaviness and weakness; ama-associated cases may show poor bowel movement and lack of appetite",controlled paraphrase from source-derived profile
T1_0012,The patient has bowel movement is reduced and an ama-like state is described; another notable feature is that appetite is reduced.,Jwara,validation,hard,12,"fever with reduced appetite, thirst, indigestion, heaviness and weakness; ama-associated cases may show poor bowel movement and lack of appetite",controlled paraphrase from source-derived profile
T1_0013,"The clinical picture is mainly fever is present, with additional features of appetite is reduced and digestion is disturbed.",Jwara,test,hard,12,"fever with reduced appetite, thirst, indigestion, heaviness and weakness; ama-associated cases may show poor bowel movement and lack of appetite",controlled paraphrase from source-derived profile
T1_0014,"The reported symptoms are thirst is increased, digestion is disturbed, and weakness is noticeable.",Jwara,test,hard,12,"fever with reduced appetite, thirst, indigestion, heaviness and weakness; ama-associated cases may show poor bowel movement and lack of appetite",controlled paraphrase from source-derived profile
T1_0015,"The presentation is suggestive of a disorder with the body feels heavy, weakness is noticeable, and an ama-like state is described.",Jwara,test,hard,12,"fever with reduced appetite, thirst, indigestion, heaviness and weakness; ama-associated cases may show poor bowel movement and lack of appetite",controlled paraphrase from source-derived profile
T1_0016,"A patient presents with abnormal bleeding is present, bleeding may occur through the upper passages, and the bleeding may recur after settling.",Raktapitta,train,easy,62,"abnormal bleeding that may move upward through the eyes, nose, ears or mouth or downward through the lower passages; severe cases may be recurrent and associated with weak digestion",controlled paraphrase from source-derived profile
T1_0017,"The main findings are bleeding may occur through the lower passages, along with the bleeding may recur after settling and multiple doshas may be involved.",Raktapitta,train,easy,62,"abnormal bleeding that may move upward through the eyes, nose, ears or mouth or downward through the lower passages; severe cases may be recurrent and associated with weak digestion",controlled paraphrase from source-derived profile
T1_0018,Clinical features include digestive strength is poor; the patient also has multiple doshas may be involved and abnormal bleeding is present.,Raktapitta,train,easy,62,"abnormal bleeding that may move upward through the eyes, nose, ears or mouth or downward through the lower passages; severe cases may be recurrent and associated with weak digestion",controlled paraphrase from source-derived profile
T1_0019,"The presentation is characterized by the bleeding is excessive, with abnormal bleeding is present and bleeding may occur through the lower passages occurring together.",Raktapitta,train,easy,62,"abnormal bleeding that may move upward through the eyes, nose, ears or mouth or downward through the lower passages; severe cases may be recurrent and associated with weak digestion",controlled paraphrase from source-derived profile
T1_0020,A case is described with bleeding may occur through the upper passages. Additional findings are bleeding may occur through the lower passages and digestive strength is poor.,Raktapitta,train,easy,62,"abnormal bleeding that may move upward through the eyes, nose, ears or mouth or downward through the lower passages; severe cases may be recurrent and associated with weak digestion",controlled paraphrase from source-derived profile
T1_0021,"The patient reports the bleeding may recur after settling and digestive strength is poor, with the bleeding is excessive also present.",Raktapitta,train,medium,62,"abnormal bleeding that may move upward through the eyes, nose, ears or mouth or downward through the lower passages; severe cases may be recurrent and associated with weak digestion",controlled paraphrase from source-derived profile
T1_0022,"The dominant complaint is multiple doshas may be involved, accompanied by the bleeding is excessive and bleeding may occur through the upper passages.",Raktapitta,train,medium,62,"abnormal bleeding that may move upward through the eyes, nose, ears or mouth or downward through the lower passages; severe cases may be recurrent and associated with weak digestion",controlled paraphrase from source-derived profile
T1_0023,"On assessment, abnormal bleeding is present is noted, together with bleeding may occur through the upper passages and the bleeding may recur after settling.",Raktapitta,train,medium,62,"abnormal bleeding that may move upward through the eyes, nose, ears or mouth or downward through the lower passages; severe cases may be recurrent and associated with weak digestion",controlled paraphrase from source-derived profile
T1_0024,"The symptom pattern includes bleeding may occur through the lower passages, the bleeding may recur after settling, and multiple doshas may be involved.",Raktapitta,train,medium,62,"abnormal bleeding that may move upward through the eyes, nose, ears or mouth or downward through the lower passages; severe cases may be recurrent and associated with weak digestion",controlled paraphrase from source-derived profile
T1_0025,"A typical presentation may include digestive strength is poor, while multiple doshas may be involved and abnormal bleeding is present are also observed.",Raktapitta,train,medium,62,"abnormal bleeding that may move upward through the eyes, nose, ears or mouth or downward through the lower passages; severe cases may be recurrent and associated with weak digestion",controlled paraphrase from source-derived profile
T1_0026,The case shows the bleeding is excessive; associated findings include abnormal bleeding is present and bleeding may occur through the lower passages.,Raktapitta,validation,hard,62,"abnormal bleeding that may move upward through the eyes, nose, ears or mouth or downward through the lower passages; severe cases may be recurrent and associated with weak digestion",controlled paraphrase from source-derived profile
T1_0027,The patient has bleeding may occur through the upper passages and bleeding may occur through the lower passages; another notable feature is that digestive strength is poor.,Raktapitta,validation,hard,62,"abnormal bleeding that may move upward through the eyes, nose, ears or mouth or downward through the lower passages; severe cases may be recurrent and associated with weak digestion",controlled paraphrase from source-derived profile
