id,question,answer,relevant_passage_id,source_page,concept,query_type,difficulty
VM_IR_001,ജ്വരം ഉണ്ടാകുന്നതിന് ദോഷങ്ങൾ എങ്ങനെ കാരണമാകുന്നു എന്ന് വിശദീകരിക്കുന്ന ഭാഗം കണ്ടെത്തുക.,വാതാദി ദോഷങ്ങൾ തങ്ങളുടെ കോപകാരണങ്ങളാൽ ദുഷിച്ച് ആമാശയത്തിലെത്തി ജഠരാഗ്നിയെ നശിപ്പിച്ച് സ്രോതസ്സുകൾ അടച്ച് ജ്വരം ഉണ്ടാക്കുന്നതായി വിവരിക്കുന്നു.,VM_JW_P12_01,12,ജ്വരത്തിന്റെ ഉത്പത്തി / ദോഷങ്ങൾ,disease_concept_retrieval,medium
VM_IR_002,ജ്വരത്തിന്റെ ആരംഭഘട്ടത്തിലും പൂർവരൂപങ്ങളിലും രോഗിയുടെ ബലം അനുസരിച്ച് ഉപവാസം നിർദേശിക്കുന്ന ഭാഗം കണ്ടെത്തുക.,ജ്വരത്തിന്റെ പൂർവരൂപങ്ങളിലോ ആരംഭത്തിലോ രോഗിയുടെ ബലം അനുസരിച്ച് ഉപവാസം നിർദേശിക്കുന്നു.,VM_JW_P12_02,12,ലഘനം / ഉപവാസം,concept_retrieval,medium
VM_IR_003,ജ്വരത്തിൽ എത്ര രാത്രി വരെ ലഘനം ചെയ്യാമെന്ന് പറയുന്ന ഭാഗം കണ്ടെത്തുക.,"ഏകരാത്രി, ദ്വിരാത്രി, ത്രിരാത്രി എന്നിവയും ചില സാഹചര്യങ്ങളിൽ ഏഴു ദിവസത്തേക്കും ലഘനം ചെയ്യുന്നതിനെക്കുറിച്ച് പറയുന്നു.",VM_JW_P12_03,12,ലഘനത്തിന്റെ കാലപരിധി,fact_retrieval,easy
VM_IR_004,ലഘനം ശരിയായി ചെയ്തതിന് ശേഷം ദോഷം കുറഞ്ഞ് അഗ്നി ഉണരുന്നതിന്റെ ലക്ഷണങ്ങൾ വിവരിക്കുന്ന ഭാഗം കണ്ടെത്തുക.,"അഗ്നിദീപ്തി, ശരീരലഘുത്വം, ആരോഗ്യം, വിശപ്പ്, തൃഷ്ണ, ദഹനശക്തി, ശരീരബലം, ഓജസ് തുടങ്ങിയവ ഉണ്ടാകുന്നതായി പറയുന്നു.",VM_JW_P12_04,12,ലഘിതലക്ഷണം,symptom_concept_retrieval,medium
VM_IR_005,ലഘനം അനുയോജ്യമല്ലാത്ത രോഗികളെയും അവർക്കുള്ള പകരം ചികിത്സയെയും കുറിച്ച് പറയുന്ന ഭാഗം കണ്ടെത്തുക.,"കേവല വാതം, ധാതുക്ഷയം, ദീർഘകാല ജ്വരം എന്നിവയുള്ളവർക്ക് ലഘനം ഹിതമല്ലെന്നും ആവശ്യമായപ്പോൾ ശമനക്രിയ ചെയ്യണമെന്നും പറയുന്നു.",VM_JW_P13_01,13,ലഘനത്തിന് അനുയോജ്യമല്ലാത്ത അവസ്ഥകൾ,disease_concept_retrieval,hard
VM_IR_006,സാമജ്വരത്തെ തിരിച്ചറിയാൻ സഹായിക്കുന്ന പ്രധാന ലക്ഷണങ്ങൾ പറയുന്ന ഭാഗം കണ്ടെത്തുക.,"ജ്വരോപദ്രവങ്ങളുടെ അധിക്യം, ക്ഷീണം കുറവായിരിക്കുക, മൂത്രം ധാരാളമായി പോകുക, മലം പുറത്തുപോകാതിരിക്കുക, ദഹിക്കാതിരിക്കുക, വിശപ്പില്ലായ്മ തുടങ്ങിയ ലക്ഷണങ്ങൾ സാമജ്വരവുമായി ബന്ധപ്പെടുത്തി പറയുന്നു.",VM_JW_P13_02,13,സാമജ്വരം,disease_identification_retrieval,hard
VM_IR_007,സാമജ്വരത്തിൽ ലഘനം ശരിയായില്ലെങ്കിൽ ശോധനയുടെ രൂപത്തിലുള്ള ചികിത്സ ചെയ്യേണ്ടതിനെക്കുറിച്ച് പറയുന്ന ഭാഗം കണ്ടെത്തുക.,സാമജ്വരലക്ഷണങ്ങൾ നിലനിൽക്കുമ്പോൾ ശോധനരൂപത്തിലുള്ള ലഘനം ചെയ്യേണ്ടതിനെക്കുറിച്ച് പറയുന്നു.,VM_JW_P13_03,13,സാമജ്വരം / ശോധനം,treatment_concept_retrieval,hard
VM_IR_008,ലഘനം കഴിഞ്ഞ് പേയാദിക്രമം അനുസരിച്ച് ആഹാരം പുനരാരംഭിക്കുന്നതിനെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,ലഘിതാവസ്ഥയ്ക്ക് ശേഷം പേയം മുതലായ ക്രമബദ്ധമായ ആഹാരോപയോഗം നിർദേശിക്കുന്നു.,VM_JW_P13_04,13,പേയാദിക്രമം,concept_retrieval,medium
VM_IR_009,ലഘനലക്ഷണങ്ങളുള്ള ജ്വരരോഗിക്ക് ദോഷത്തിന്റെ കോപം അനുസരിച്ച് ഔഷധം നൽകുന്നതിനെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,ലഘിതലക്ഷണങ്ങളുള്ളവരെ ദോഷകോപത്തിനനുസരിച്ചുള്ള ഔഷധം കൊണ്ട് ചികിത്സിക്കണമെന്ന് പറയുന്നു.,VM_JW_P14_01,14,ദോഷാനുസൃത ചികിത്സ,treatment_concept_retrieval,medium
VM_IR_010,തീവ്രജ്വരത്തിൽ ഔഷധം നൽകേണ്ട കാലവും രോഗിയുടെ ഭക്ഷണവുമായി ബന്ധപ്പെട്ട നിർദേശങ്ങളും പറയുന്ന ഭാഗം കണ്ടെത്തുക.,ചില ഔഷധങ്ങൾ ജ്വരം ആരംഭിച്ചതിന് ശേഷം ഏഴാം ദിവസത്തിനു ശേഷവും ചിലത് പത്താം ദിവസത്തിനു ശേഷവും നൽകാമെന്നും ചില സാഹചര്യങ്ങളിൽ ലഘു ആഹാരത്തിന് ശേഷം നൽകാമെന്നും പറയുന്നു.,VM_JW_P14_02,14,ഔഷധപ്രയോഗകാലം,fact_retrieval,hard
VM_IR_011,പിത്തജ്വരത്തിൽ കഷായം നൽകേണ്ട ദിവസത്തിന്റെ സമയത്തെക്കുറിച്ച് പറയുന്ന ഭാഗം കണ്ടെത്തുക.,പിത്തജ്വരത്തിൽ പൂർവാഹ്ണത്തിൽ കഷായം നൽകുന്നതായി പറയുന്നു.,VM_JW_P18_01,18,പിത്തജ്വരം / ഔഷധപ്രയോഗകാലം,disease_concept_retrieval,medium
VM_IR_012,കഫജ്വരത്തിൽ കഷായം നൽകേണ്ട സമയത്തെക്കുറിച്ച് പറയുന്ന ഭാഗം കണ്ടെത്തുക.,കഫജ്വരത്തിൽ മധ്യാഹ്നത്തിൽ കഷായം നൽകുന്നതായി പറയുന്നു.,VM_JW_P18_01,18,കഫജ്വരം / ഔഷധപ്രയോഗകാലം,disease_concept_retrieval,medium
VM_IR_013,വാതജ്വരത്തിൽ കഷായം നൽകേണ്ട സമയത്തെക്കുറിച്ച് പറയുന്ന ഭാഗം കണ്ടെത്തുക.,വാതജ്വരത്തിൽ അപരാഹ്ണത്തിൽ കഷായം നൽകുന്നതായി പറയുന്നു.,VM_JW_P18_01,18,വാതജ്വരം / ഔഷധപ്രയോഗകാലം,disease_concept_retrieval,medium
VM_IR_014,"ദോഷങ്ങൾ പചിക്കാതെ നിൽക്കുമ്പോൾ ലഘനം, പേയം തുടങ്ങിയ മുൻചികിത്സകൾക്ക് ശേഷം എന്ത് ചെയ്യണമെന്ന് പറയുന്ന ഭാഗം കണ്ടെത്തുക.",ദോഷങ്ങൾക്ക് പാകം വരാത്തപ്പോൾ കാലജ്ഞനായ വൈദ്യൻ പാചനകഷായങ്ങൾ പ്രയോഗിക്കണമെന്ന് പറയുന്നു.,VM_JW_P18_02,18,പാചനം / ദോഷപാകം,treatment_concept_retrieval,hard
VM_IR_015,പാചനകഷായമോ ശമനകഷായമോ ഏഴാം ദിവസം നൽകാമെന്നുള്ള ഭാഗം കണ്ടെത്തുക.,പാചനകഷായമോ ശമനകഷായമോ ഏഴാം ദിവസം നൽകാമെന്ന് പറയുന്നു.,VM_JW_P19_01,19,പാചനം / ശമനം,fact_retrieval,medium
VM_IR_016,നവജ്വരത്തിൽ വളരെ നേരത്തെ പാചനമോ ശമനമോ നൽകുന്നതിന്റെ ദോഷത്തെക്കുറിച്ച് പറയുന്ന ഭാഗം കണ്ടെത്തുക.,നവജ്വരത്തിൽ വളരെ നേരത്തെ പാചനമോ ശമനമോ നൽകുന്നത് ദോഷകോപം വർധിപ്പിക്കാമെന്ന് പറയുന്നു.,VM_JW_P19_01,19,നവജ്വരം / ചികിത്സാകാലം,disease_concept_retrieval,hard
VM_IR_017,എല്ലാ ജ്വരങ്ങളിലും പാചനത്തിന് ഉത്തമമെന്ന് പറയുന്ന കഷായത്തെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,അമൃതാദി ദ്രവ്യങ്ങൾ ഉൾപ്പെടുന്ന കഷായം എല്ലാ ജ്വരങ്ങളിലും പാചനത്തിന് ഉത്തമമെന്ന് വിവരിക്കുന്നു.,VM_JW_P19_02,19,സർവജ്വരം / പാചനം,concept_retrieval,medium
VM_IR_018,"തൃഷ്ണ, ദാഹം, ശരീരസന്താപം എന്നിവയാൽ ബുദ്ധിമുട്ടുന്ന ജ്വരരോഗിക്കുള്ള കഷായത്തെക്കുറിച്ച് പറയുന്ന ഭാഗം കണ്ടെത്തുക.","തൃഷ്ണ, ദാഹം, ശരീരസന്താപം എന്നിവയാൽ പീഡിതനായ ജ്വരരോഗിക്ക് നാഗരാദി കഷായം നൽകുന്നതിനെക്കുറിച്ച് പറയുന്നു.",VM_JW_P18_03,18,ജ്വരം / തൃഷ്ണ / ദാഹം,symptom_concept_retrieval,medium
VM_IR_019,വാതജ്വരത്തിൽ വേദനയും തലവേദനയും വിറയലും തൃഷ്ണയും കുറയ്ക്കുന്നതായി പറയുന്ന കഷായത്തെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,"വാതജ്വരത്തിലും സർവാംഗസന്ധിവേദന, തലവേദന, വിറയൽ, തൃഷ്ണ തുടങ്ങിയ ലക്ഷണങ്ങളിലും പ്രയോജനപ്പെടുന്ന കഷായത്തെ വിവരിക്കുന്നു.",VM_JW_P23_01,23,വാതജ്വരം / ലക്ഷണങ്ങൾ,disease_identification_retrieval,hard
VM_IR_020,പുനരാവർത്തിച്ച് വരുന്ന ജ്വരത്തിൽ രോഗിക്ക് എന്തുതരത്തിലുള്ള പരിചരണവും ചികിത്സയും നൽകണമെന്ന് പറയുന്ന ഭാഗം കണ്ടെത്തുക.,"പുനരാവർത്തിച്ച് വരുന്ന ജ്വരത്തിൽ രോഗിയെയും ജ്വരവിമുക്തനായ വ്യക്തിയെയും ഹിതമായ ഭക്ഷണം, ഔഷധം മുതലായവകൊണ്ട് പരിചരിക്കണമെന്ന് പറയുന്നു.",VM_JW_P17_01,17,പുനരാവർത്തക ജ്വരം,disease_concept_retrieval,hard
VM_IR_021,ജ്വരത്തിൽ ഉപവാസം ചെയ്യേണ്ടത് രോഗിയുടെ ഏത് ഘടകങ്ങൾ പരിഗണിച്ചാണ് എന്ന് പറയുന്ന ഭാഗം കണ്ടെത്തുക.,രോഗിയുടെയും ദോഷങ്ങളുടെയും ബലവും ദേശകാലങ്ങളും പരിഗണിച്ചാണ് ഉപവാസം ചെയ്യേണ്ടതെന്ന് വിവരിക്കുന്നു.,VM_JW_P12_03,12,ലഘനം / രോഗിബലം,disease_concept_retrieval,medium
VM_IR_022,ജ്വരത്തിലെ ലഘിതലക്ഷണങ്ങളിൽ ശരീരത്തിന് ലഘുത്വം ഉണ്ടാകുന്നതിനെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,ലഘനം മൂലം ശരീരത്തിന് ലഘുത്വം ഉണ്ടാകുന്നത് ലഘിതാവസ്ഥയുടെ ലക്ഷണമായി പറയുന്നു.,VM_JW_P12_04,12,ലഘിതലക്ഷണം,symptom_concept_retrieval,easy
VM_IR_023,ജ്വരത്തിൽ അഗ്നിദീപ്തി ഉണ്ടാകുന്നത് ലഘനം ഫലപ്രദമായതിന്റെ ലക്ഷണമാണെന്ന് പറയുന്ന ഭാഗം കണ്ടെത്തുക.,ഉപവാസം വഴി ദോഷം ക്ഷയിച്ച് അഗ്നിദീപ്തി ഉണ്ടാകുന്നത് ലഘിതലക്ഷണങ്ങളിൽ ഉൾപ്പെടുന്നു.,VM_JW_P12_04,12,അഗ്നിദീപ്തി,symptom_concept_retrieval,easy
VM_IR_024,ജ്വരത്തിൽ വിശപ്പും ദഹനശക്തിയും വീണ്ടെടുക്കുന്നതിനെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,ലഘനത്തിനു ശേഷം വിശപ്പും ദഹനശക്തിയും വർധിക്കുന്നത് ആരോഗ്യത്തിലേക്കുള്ള പുരോഗതിയുടെ ലക്ഷണങ്ങളായി വിവരിക്കുന്നു.,VM_JW_P12_04,12,വിശപ്പ് / ദഹനം,symptom_concept_retrieval,medium
VM_IR_025,ജ്വരത്തിൽ ധാതുക്ഷയം ഉള്ളവർക്ക് ലഘനം ഹിതമല്ലെന്ന് പറയുന്ന ഭാഗം കണ്ടെത്തുക.,ധാതുക്ഷയമുള്ള രോഗികൾക്ക് ലഘനം അനുയോജ്യമല്ലെന്ന് വ്യക്തമാക്കുന്നു.,VM_JW_P13_01,13,ധാതുക്ഷയം / ലഘനം,disease_concept_retrieval,medium
VM_IR_026,ദീർഘകാലം തുടരുന്ന ജ്വരത്തിൽ ലഘനം ഒഴിവാക്കേണ്ടതിനെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,ദീർഘകാല ജ്വരമുള്ളവരിൽ ലഘനം ഹിതമല്ലെന്ന് പറയുന്നു.,VM_JW_P13_01,13,ദീർഘജ്വരം,disease_concept_retrieval,medium
VM_IR_027,സാമജ്വരത്തിൽ മലം പുറത്തുപോകാതിരിക്കുന്നതിനെ ഒരു ലക്ഷണമായി പറയുന്ന ഭാഗം കണ്ടെത്തുക.,സാമജ്വരലക്ഷണങ്ങളിൽ മലം പുറത്തുപോകാതിരിക്കുക ഉൾപ്പെടുന്നതായി വിവരിക്കുന്നു.,VM_JW_P13_02,13,സാമജ്വരം / മലബന്ധം,disease_identification_retrieval,medium
VM_IR_028,സാമജ്വരത്തിൽ ഭക്ഷണം ദഹിക്കാതിരിക്കുന്നതിനെക്കുറിച്ചുള്ള ഭാഗം കണ്ടെത്തുക.,അദഹനം സാമജ്വരത്തിന്റെ ലക്ഷണങ്ങളിൽ ഒന്നായി വിവരിക്കുന്നു.,VM_JW_P13_02,13,സാമജ്വരം / അദഹനം,disease_identification_retrieval,easy
