id,task,question,answer,disease,source_page,source_section
dt_001,disease_treatment_qa,ജ്വരം എന്ന രോഗത്തിന് ഗ്രന്ഥത്തിൽ നിർദ്ദേശിക്കുന്ന ചികിത്സ എന്താണ്?,"12 വൈദ്യമനോരമ ജ്വരചികിത്സാക്രമം ജരലക്ഷണം- ആമാശയസ്ഥോ ദോഷോ ഗ്നിം! നിഹത്യാമേന സംയുതഃ സ്വൈസ്സ്സൈഃ പ്രദുഷണൈര്‍ദ്ദുഷ്ടഃ സ്രോതോമാര്‍ഗ്ഗാന്‍ പിധായ ച. | വിദധാതി ജ്വരം യസ്മാത്തസ്മാല്‍ കുര്‍വിത ലംഘനം പ്രാഗ്രൂുപേഷു ജരാദൌ വാ പാലയന്‍ യത്നതോ ബലം. മ സാരം - വാതാദിദോഷങ്ങള്‍ തന്റെ തന്റെ കോപകാരണങ്ങളെക്കൊണ്ട്‌ ദുഷിച്ച്‌ ആമാശയത്തില്‍ ചെന്ന്‌ ജഠരാഗ്നിയെ നശിപ്പിച്ച്‌ ആമത്തോടു ചേര്‍ന്ന്‌ സ്രോതസ്സു കളെ അടച്ച്‌ ജരത്തെ ഉണ്ടാക്കുന്നു. അതിനാല്‍ ജരത്തിനു പുര്‍വരുപങ്ങളിലോ ആദിയിലോ എല്ലാവിധത്തിലും രോഗിയുടെ ബലമനുസരിച്ച്‌ ഉപവസിപ്പിക്കണം. ജരത്തിലെ ലംഘന്റക്രമം-- ഏകര്രതം ദ്ധിരാത്രം വാ ത്രിരാര്തം വാ ജ്വരാതുരം ആസപ്തരാത്രമഥവാ ലംഘയേല്‍ ബലകാലവില്‍. ി സാരം - രോഗിയുടേയും ദോഷങ്ങളുടേയും ബലത്തേയും ദേശകാലങ്ങളേയും അറിയാവുന്ന വൈദ്യന്‍ ജരപീഡിതനായിരിക്കുന്നവനെ ഒന്നോ രണ്ടോ മുന്നോ ദിവസമോ അല്ലെങ്കില്‍ ഏഴു ദിവസം വരേയോ ഉപവസിപ്പിക്കണം. (ദോഷങ്ങള്‍ എപ്പോള്‍ പാകം വരുന്നുവോ അതുവരെ ഉപവസിപ്പിച്ചുകൊള്ളണം), ലംഘി",ജ്വരം,12,Vaidyamanorama — full-PDF disease/treatment extraction
dt_002,disease_treatment_qa,പാണ്ഡു രോഗത്തിന്റെ ചികിത്സയായി ഗ്രന്ഥം എന്താണ് പറയുന്നത്?,"രക്തഗുന്മചികിത്സ ി ശുലചികിത്സ മമമ ആനാഹാദിചികിത്സ മാ ജലകൂര്‍മ്മചികിത്സ മ ൬. മഹോദരചികിത്സായകമം ടം 222 ൯. പാണ്ഡുരോഗചികിത്സാരകമം .......ം 228 കാമിലാചികിത്സ 4 കുംഭകാമിലാചികിത്സ 8 198, ശോഫചികിത്സാരകമം 281 290. വിസര്‍പ്പചികിത്സാരകമം......ം 288 21. മസുരികാചികിത്സ്രകമം .......ം 308 വിന്ഫോടചികിത്സ ദ കക്ഷ്യാചികിത്സ ദ ശീതപിത്തചികിത്സ ദ മാം കുഷ്ഠചികിത്സാരകമം ....ം 2 മഃ, ശ്വിര്രചികിത്സാര്രമം .....ം മോ കൃമിചികിത്സ ദമ 24. വാതരോഗചികിത്സാരകമം .......ം 330 മുട, വാതശോണിതചികിത്സാര്രമം............... 356 5, ഉരഃക്ഷതാരിചികിത്സാരകമം.......ം 364 സ്ഥുലചികിത്സ, ദ കൃശചികിത്സ ടെ വന്ധ്യാചികിത്സ ടെ പ്രസുതിചികിത്സ ി ബാലചികിത്സ ി മു, ഉന്മാദാരിചികിത്സാരകമം .......ം 382 അപസ്‌മാരചികിത്സ 4 8, ന്വേതചികിത്സ്യകമം .... 5, കര്‍ണ്ണരോഗചികിത്സാ്രമം .......ം 408 30. ,്രതിശ്യായേചികിത്സാരകമം.......ം 403 വയസ്ക്കര എന്‍.എസ്‌. മൂസ്സ്‌ ലി ഡ്വേ. ജോസ്‌",പാണ്ഡു,8,Vaidyamanorama — full-PDF disease/treatment extraction
dt_003,disease_treatment_qa,കുഷ്ഠം ബാധിച്ചാൽ ഗ്രന്ഥപ്രകാരം എന്ത് ചികിത്സയാണ് ചെയ്യേണ്ടത്?,"റെ നാലിലൊന്ന്‌ 4 കഴഞ്ച്‌) ദ്ധിപഞ്ചമുലാദി- ദ്വിപഞ്ചമൂലക്ഷഥിതേന സംയുതാ ഭിഷഗ്ഭിരുക്താ മഗധാ വിചൂര്‍ണ്ണിതാ സകാസശോഷശ്വസനാമ്പിതേ ജ്വരേ ത്രിദോഷജേ വാപി ശിരോരുഗാതുരേ. 76 സാരം - ദശമൂലം കഷായം വെച്ചു തിപ്പലിപ്പൊടി മേമ്പൊടി ചേര്‍ത്തു സേവി ച്ചാല്‍ ചുമ, ശോഷം, വായുമൂട്ടല്‍ ഇവയോടുകുടിയ ജ്വരവും തലവേദനയോടുകു ടിയ ര്രിദോഷജ്ജരവും ശമിക്കും. ദശമൂലാദി-- ദശമൂലദുരാലഭാഗുളൂചീ- വൃഷവിശ്വാബ്ദകിരാതപര്‍പ്പടാനാം വിനിഹന്തി ശൃതം ജലം സകുഷ്ഠം കഫവാതോത്തരസന്നിപാതജൂര്‍ത്തിം. 77 സാരം - ദശമൂലം, കൊടിത്തുവവേര്‍, അമൃത്‌, ആടലോടകത്തിന്‍വേര്‍്‌, ചുക്ക്‌, മുത്തങ്ങാക്കിഴങ്ങ്‌, പുത്തരിച്ചുണ്ടവേര്‍, പര്‍പ്പടകപ്പുട്്‌ ഇവ കഷായം വെച്ച്‌ കൊട്ടം പൊടിച്ചു മേമ്പൊടി ചേര്‍ത്തു സേവിച്ചാല്‍ കഫവും വാതവും വര്‍ദ്ധിച്ച സന്നിപാ തജ്ചരം ശമിക്കും. ദൂരാലഭാദി- ദുരാലഭാപര്‍പ്പടകാംബുവാഹ- വിശ്വാമൃതാധാനനിദിഗ്ദ്ധികാനാം ക്വാഥോ നിഹന്യാജ്ജ്വരമാശു ഘോരം പ്രലാപമൂര്‍ഛാപരിദാഹയുക്തം. 28",കുഷ്ഠം,30,Vaidyamanorama — full-PDF disease/treatment extraction
dt_004,disease_treatment_qa,കാസം രോഗാവസ്ഥയിൽ ഉപയോഗിക്കേണ്ട ഔഷധപ്രയോഗം ഏതാണ്?,"ല്‍ സര്‍പ്പിര്‍ബ്ദലയാ മധുകേന വാ ഫല്ര്രയേണ വാ സര്‍പ്പിര്‍ഗുളൂച്യാ വാ ജ്വരാപഹം. 100 സാരം - മൂുന്തിരിങ്ങാപ്പഴം, കുറുന്തോട്ടിവേര്‍, ഇരട്ടിമധുരം, ശ്രിഫലത്തോട്‌, അമ്യ ത്‌ ഇവയില്‍ ഏതെങ്കിലും ഒരെണ്ണം കല്ക്കമാക്കി കാച്ചിയെടുത്ത നെയ്യ്‌ ലരത്തെ ശമിപ്പിക്കും. നിദിഗ്ദ്ധികാദി--. നിദിഗ്ദ്ധികാതാമലകീത്രായമാണാകലിംഗകൈഃ കൃഷ്ണാംശുമത്യതിവിഷാകടുകാസേവ്യചന്ദനൈഃ. 101 ധാത്രീവില്വഘന്രദാക്ഷാശാരിബാഭിശ്ച സാധിതം ഹന്തി സദ്യോ ജരം കാസം ഘൃതം ശ്വാസം ഹലീമകം. 102. അരുചിം വിഷമം വഹ്നിം യക്ഷ്മാണഞ്ച നവോത്ഥിതം സാരം - ചെറുവഴുതിനവേര്‌, കിഴുകാനെല്ലി, (്ര്മി, കുടകപ്പാലയരി, തിപ്പലി, ഓരിലവേര്‍, അതിവിടയം, കടുകുരോഹിണി, രാമച്ചം, ചന്ദനം, നെല്ലിക്കാത്തോട്‌, കരൂവളത്തിന്‍വേര്‍്‌, മുത്തങ്ങാക്കിഴങ്ങ്‌, മുന്തിരിങ്ങാപ്പഴം, നറുനിണ്ടിക്കിഴങ്ങ്‌ ഇവകൊ ണ്ടു കാച്ചിയ നെയ്യ്‌ ജ്വരം, ചുമ, വായുമുട്ടല്‍, ഹലീമകരോഗം, അരുചി, വിഷമാഗ്നി, കാലപ്പഴക്കം ചെല്ലാത്ത രാജയക്ഷ്മാവ്‌ ഇവ പെട്ടെന്നു ശമിപ്പിക്കും. ലോഹിതാണ്ഡാദി തൈലം- ലോഹിതാണ്ഡം ഹരിദ്രേ ദ്വേ ശംഖിനീ കൃഷ്ണജിീരകം. 103 ശാരിബാ ചന്ദനം കുഷ്ഠം സൈന്ധവം ത്ര്യൂഷണം വചാ ഏതൈര്‍വാശാരസേ സിദ്ധം സസ്തന്യം തൈലമുത്തമം. 104 പാനാഭ്യഞ്ജനനസൈശ്ച ലിപ്തം സന്ധിനഖാന്തയോഃ സമസ്തസന്നിപാതഘ്നം പക്ഷാഘാതാര്‍ദ്ദിതാപഹം. 105 ബാഹ്യായാമാന്തരായാമഭൂതാദിഗ്",കാസം,35,Vaidyamanorama — full-PDF disease/treatment extraction
dt_005,disease_treatment_qa,അതിസാരം ചികിത്സയ്ക്കായി ഈ ഗ്രന്ഥം നിർദ്ദേശിക്കുന്ന മാർഗം എന്താണ്?,"ത്തു തൊലികളഞ്ഞ്‌ നാലിടങ്ങഴി നാളി കേരജലത്തില്‍ പാകം ചെയ്തു നാലിലൊന്നാകുമ്പോള്‍ വാങ്ങി തണുത്താല്‍ പഞ്ച സാര ചേര്‍ത്തു സേവിക്കുക. സര്‍വാംഗസന്താപം, തണ്ണീര്‍ദ്ദാഹം, മോഹാലസ്യം, ക്ഷീണം, തലതിരിച്ചില്‍, ഛര്‍ദ്ദി ഇവ ശമിക്കും. കാസഹിക്കാഭമാനാഹമദദൌനര്‍ബല്യകാമിലാഃ ഛര്‍ദ്ദിഃ ശ്വാസോ/തിസാരശ്ച ജരസ്യോപ്രദവാ ദശ. 196 സാരം - ചുമ, ഇക്കിള്‍, തലതിരിച്ചില്‍, വയറുവീര്‍പ്പ്‌, മദം, ദുര്‍ബലത്വം, കാമി ല, ഛര്‍ദ്ദി, വായുമൂട്ടല്‍, അതിസാരം ഇവ പത്തും ജ്രത്തില്‍ ഉണ്ടാകുന്ന ഉപ്ര്രവ ങ്ങളാകുന്നു. സന്നിപാതജ്ചരത്തിന്റെ ദശോപ്രദവങ്ങള്‍- കാസശ്വാസൌ ച ഹിക്കാ ച ശിരോരോഗഗളഗ്രഹൌ ഛര്‍ദ്ദിര്‍മ്മൂര്‍ച്ഛാ ച തൃഷ്ണാ ച ജാഠരാധ്മാനമേവ ച. 197 പ്രതിശ്യായശ്ച ശൂലം ച സന്നിപാത ഉപ്രദരവാഃ സാരം - ചുമ, വായുമുട്ടല്‍, ഇക്കിള്‍, ശിരോരോഗം, ഗളഗ്രഹം, ഛര്‍ദ്ദി, മോഹാ ലസ്യം, തണ്ണിര്‍ദ്ദാഹം, വയറുവീര്‍പ്പ്‌, പീനസം, ശൂലം ഇവ സന്നിപാതജ്വരത്തിലെ ഉപ്രദവങ്ങളാകുന്നു.",അതിസാരം,56,Vaidyamanorama — full-PDF disease/treatment extraction
dt_006,disease_treatment_qa,ഗ്രഹണി എന്ന രോഗത്തിന് ഗ്രന്ഥത്തിൽ നിർദ്ദേശിക്കുന്ന ചികിത്സ എന്താണ്?,"തസാം തദ്ധിശോധനം. 5 ഗുല്മജ്വരോദരപ്ലീഹ- ഗ്രഹണീപാണ്ഡുപീനസാന്‍ ശ്വാസകാസാഗ്നിസദന- ശ്വയഥൂര്‍ദ്ധാനിലാന്‍ ജയേല്‍. ന സാരം - പഞ്ചകോലം (തിപ്പലി, കാട്ടുതിപ്പലിവേര്‍, കാട്ടുമുളകിന്‍വേര്‍, കൊടു വേലിക്കിഴങ്ങ്‌, ചുക്ക്‌) ചവര്‍ക്കാരം ഇവ ഒരു പലം വിതം കല്ക്കമായി ഇടങ്ങഴി നെയ്യു ചേര്‍ത്തു ചളിപാകത്തില്‍ ഇടങ്ങഴി പാലുമൊഴിച്ചു കാച്ചിയെടുത്തു സേവി ക്കുക. സ്രോതസ്സുകള്‍ക്ക്‌ ശുദ്ധിയുണ്ടാകയും ഗുന്മം, ലരം, മഹോദരം, പ്ലീഹരോ ഗം, ഗ്രഹണി, പാണ്ഡുരോഗം, പീനസം, ശ്വാസം, ചുമ, അഗ്നിമാന്ദ്യം, നീര്‍ക്കെട്ട്‌, ര്‍ദ്ധവായു ഇവ ശമിക്കുകയും ചെയ്യും.",ഗ്രഹണി,118,Vaidyamanorama — full-PDF disease/treatment extraction
dt_007,disease_treatment_qa,പ്രമേഹം രോഗത്തിന്റെ ചികിത്സയായി ഗ്രന്ഥം എന്താണ് പറയുന്നത്?,"രലിലിട്ടു ചതച്ചു ആവണക്കെണ്ണയും ഗോമൂത്രവും ചേര്‍ത്ത്‌ ഒരു കൂട ത്തിലാക്കി വേറൊരു ചട്ടികൊണ്ട്‌ അടച്ച്‌ ശിലമണ്‍ചെയ്ത്‌ പുക വെളിയില്‍ പോകാതെ ക്ഷാരമാക്കി വാങ്ങി എടുത്ത്‌ വയ്ക്കുക. ഇതിനു കല്യാണക്ഷാരമെന്നു പേര്‍. ഈ ക്ഷാരം നെയ്യില്‍ കുഴച്ചോ ചോറില്‍ വിതറി നെയ്യു കൂട്ടിയോ സേവി ച്ചാല്‍ ഉദാവര്‍ത്തം, മലബന്ധം, അര്‍ശസ്സ്‌, ഗുന്മം, പാണ്ഡു, മഹോദരം, കൃമി, മൂത്ര ത്തടവ്‌, അശ്മരി (കല്ലടപ്ു, ശരീരശോഷം, ഹൃദ്രോഗം, ഗ്രഹണി, പ്രമേഹം, പ്ലീഹ രോഗം, മേല്‍വയറുവിര്‍പ്പ്‌, ശ്വാസം, ചുമ ഇവ ശമിക്കും. പത്ഥ്യാദി ചൂര്‍ണ്ണം- പത്ഥ്യാനാഗരകൃഷ്ണാ- കരഞ്ജവേല്ലാഗ്നിഭിഃ സിതാതുല്യൈഃ ബലവാനനല ഇവ ജരയതി ബഹുഗുര്‍വപി ഭോജനം ചൂര്‍ണ്ണം. മമ സാരം - കടുക്കാത്തോട്‌, ചുക്ക്‌, തിപ്പലി, പുങ്കിന്‍തൊലി, വിഴാലരി, കൊടുവേ ലിക്കിഴങ്ങ്‌ ഇവ സമമായി എടുത്തു പൊടിച്ചു എല്ലാത്തിനും സമം പഞ്ചസാര ചേര്‍ത്ത്‌ യോജിപ്പിച്ച്‌ സേവിക്കുക. വളരെ ഗുരുത്വമുള്ള ഭക്ഷണവും ദഹിക്കും. ഗന്ധര്‍വഹസ്തചിരിവിലഹുതാശവിശ്വ- പത്ഥ്യാപുനര്‍ന്നവയവാഷകഭുമിതാലൈഃ ക്വാഥസ്സസൈന്ധവഗുളഃ പവനസ്യ ശാന്ത്ത്യൈ വഹ്നേര്‍ബലായ രുചയേ മലശോധനായ. 23 സാരം - വെളുത്താവണക്കിന്‍വേര്‍, ആവിത്തൊലി, കൊടുവേലിക്കിഴങ്ങ്‌, ചുക്ക്‌, കടുക്കാത്തോട്‌, തഴുതാമവേര്‍, കൊടിത്തുവവേര്‍, നിലപ്പനക്കിഴങ്ങ്‌ ഇവ കൊണ്ടുള്ള കഷായം ഇന്തുപ്പും ശര്‍ക്കരയും മേ",പ്രമേഹം,169,Vaidyamanorama — full-PDF disease/treatment extraction
dt_008,disease_treatment_qa,രക്തപിത്തം ബാധിച്ചാൽ ഗ്രന്ഥപ്രകാരം എന്ത് ചികിത്സയാണ് ചെയ്യേണ്ടത്?,"രം, നറുനീണ്ടിക്കിഴങ്ങ്‌, മൂന്തിരിങ്ങാപ്പഴം, ഇരിപ്പക്കാതല്‍, ചന്ദനം, ചെങ്ങഴുനിര്‍ക്കിഴ്ങ്‌, കുമിഴിന്‍വേര്‍, പതുമുകം, പാച്ചൊറ്റിത്തൊലി, (്രിഫ ലത്തോട്‌, താമരയല്ലി, ചിറ്റിന്തലിന്‍വേര്‍, താമരവളയം ഇവ ചതച്ച്‌ തലേദിവസം ഗംഗാജലത്തില്‍ ഇട്ടുവച്ചിരുന്ന്‌ രാവിലെ പിഴിഞ്ഞരിച്ചെടുത്തു തേനും മലര്‍പ്പൊ ടിയും പഞ്ചസാരയും മേമ്പൊടി ചേര്‍ത്തു സേവിക്കുക. വാതപിത്തജ്ചരം, സര്‍വാംഗ സന്താപം, തണ്ണീര്‍ദാഹം, ഛര്‍ദ്ദി, തലകറക്കം, രക്തപിത്തം ഇവ ശമിക്കും. വാതകഫജരസ്യ-- (ആരഗ്വധാദി) ആശഗ്വധ്ഗ്രന്ഥികമേഘതിക്താ- ഹരീതകിഭിഃ ക്വഥിതഃ കഷായഃ സാമേ സശൂലേ കഫവാതയുക്തേ ജ്വരേ ഹിതോ ദീപനപാചനശ്ച. 63 സാരം - കൊന്നത്തൊലി, കാട്ടുതിപ്പലിവേര്‍, മുത്തങ്ങാക്കിഴങ്ങ്‌, പുത്തരിച്ചു ണ്ടവേര്‍, കടുക്കാത്തോട്‌ ഇവകൊണ്ടുള്ള കഷായം ആമത്തോടും ശുലത്തോടും കൂടിയ കഫവാതജ്രത്തെ ശമിപ്പിക്കും. ഇത്‌ ദീപനവും പാചനവും ആകുന്നു. ദാര്‍വാദി-- ദാരുപര്‍പ്പടഭാര്‍ങ്ഗ്യബ്ദവചാധാന്യാകകടഫലൈഃ സാഭയാവിശ്വപുതികൈഃ ക്വാഥോ ഹിംഗുമധുല്കടഃ. 4 കഫവാതജ്വരേ പിതോ ഹിക്കാശ്വാസഗളഗ്രഹാന്‍ കാര്‍ശ്യശോഷപ്രസേകാംശ്ച ഹന്ന്യാത്തരുമിവാശനിഃ. ടട സാരം - ദേവതാരം, പര്‍പ്പടകപ്പുള്ല്‌, ചെറുതേക്കിന്‍വേര്‍, മുത്തങ്ങാക്കിഴങ്ങ്‌, വയമ്പ്‌, കൊത്തമ്പാലരി, കുമിഴിന്‍വേര്‍്‌, കടുക്കാത്തോട്‌, ചുക്ക്‌, ആവിത്തൊലി ഇവ കഷായം വെച്ച്‌ ആറിയാല്‍",രക്തപിത്തം,27,Vaidyamanorama — full-PDF disease/treatment extraction
dt_009,disease_treatment_qa,ക്ഷയം രോഗാവസ്ഥയിൽ ഉപയോഗിക്കേണ്ട ഔഷധപ്രയോഗം ഏതാണ്?,"ജരചികിത്സാ്രമം 13 ലംഘനനിഷേധം-- ശുദ്ധവാതക്ഷയാഗന്തു ജീര്‍ണ്ണജ്രിഷു ലംഘനം നേഷ്യതേ തേഷു ഹി ഹിതം ശമനം യന്ന കര്‍ശനം ടട സാരം - കേവലവാതം കൊണ്ടും ധാതുക്ഷയം കൊണ്ടും ഉള്ള ജ്വരം ആഗ ത്തുകജ്ചരം ജീര്‍ണ്ണജ്വരം (പഴകിയ പനി) ഇവയുളളവര്‍ക്ക്‌ ഉപവാസം ഹിതമല്ല. അവര്‍ക്കു കര്‍ശനമല്ലാതുള്ള (ചടപ്പിക്കാതെയുള്ള) ശമന്രകിയ ചെയ്തുകൊള്ള ണം. സാമജ്വരലക്ഷണം-- ജ്വരോപ്രദവതീക്ഷ്ണത്വമഗ്ലാനിര്‍ബ്ബഹുമുധ്രതാ ന പ്രവൃത്തിര്‍ന്ന വിഡ്ജീര്‍ണ്ണാ ന ക്ഷുത്സാമജ്വരാകൃതിഃ 6 ഇതി സാമജ്വരാകൃത്യാ ജാനീയാദവിശോഷിതം സാരം - ജ്വരോപ്രദവങ്ങളുടെ ആധിക്യം, ക്ഷീണമില്ലായ്ക, മൂത്രം ധാരാളം പോവുക, മലം പോകാതെയും ദഹിക്കാതെയുമിരിക്ക, വിശപ്പില്ലായ്‌ക ഇവ ആമ ത്തോടുകുടിയ ജ്വരത്തിന്റെ ലക്ഷണങ്ങളാകുന്നു. ഇങ്ങനെയുള്ള സാമജ്ചരലക്ഷ ണം കൊണ്ട്‌ അവിശോഷിതനെന്ന്‌ (ലംഘനം ശരിയാവാതെയുള്ളവനെന്ന്‌) അറി യണം. ശമനരുപമായ ലംഘനത്തില്‍ വെച്ചു ശ്രേഷ്ഠമായ ഉപവാസം ചെയ്തിട്ടും ആമജ്വരലക്ഷണമുണ്ടായിരുന്നാല്‍ ദിവിധോപ്രകമണീയത്തില്‍ വിധിച്ചിരിക",ക്ഷയം,13,Vaidyamanorama — full-PDF disease/treatment extraction
dt_010,disease_treatment_qa,കൃമി ചികിത്സയ്ക്കായി ഈ ഗ്രന്ഥം നിർദ്ദേശിക്കുന്ന മാർഗം എന്താണ്?,"രക്തഗുന്മചികിത്സ ി ശുലചികിത്സ മമമ ആനാഹാദിചികിത്സ മാ ജലകൂര്‍മ്മചികിത്സ മ ൬. മഹോദരചികിത്സായകമം ടം 222 ൯. പാണ്ഡുരോഗചികിത്സാരകമം .......ം 228 കാമിലാചികിത്സ 4 കുംഭകാമിലാചികിത്സ 8 198, ശോഫചികിത്സാരകമം 281 290. വിസര്‍പ്പചികിത്സാരകമം......ം 288 21. മസുരികാചികിത്സ്രകമം .......ം 308 വിന്ഫോടചികിത്സ ദ കക്ഷ്യാചികിത്സ ദ ശീതപിത്തചികിത്സ ദ മാം കുഷ്ഠചികിത്സാരകമം ....ം 2 മഃ, ശ്വിര്രചികിത്സാര്രമം .....ം മോ കൃമിചികിത്സ ദമ 24. വാതരോഗചികിത്സാരകമം .......ം 330 മുട, വാതശോണിതചികിത്സാര്രമം............... 356 5, ഉരഃക്ഷതാരിചികിത്സാരകമം.......ം 364 സ്ഥുലചികിത്സ, ദ കൃശചികിത്സ ടെ വന്ധ്യാചികിത്സ ടെ പ്രസുതിചികിത്സ ി ബാലചികിത്സ ി മു, ഉന്മാദാരിചികിത്സാരകമം .......ം 382 അപസ്‌മാരചികിത്സ 4 8, ന്വേതചികിത്സ്യകമം .... 5, കര്‍ണ്ണരോഗചികിത്സാ്രമം .......ം 408 30. ,്രതിശ്യായേചികിത്സാരകമം.......ം 403 വയസ്ക്കര എന്‍.എസ്‌. മൂസ്സ്‌ ലി ഡ്വേ. ജോസ്‌ ടി പൈകട്‌ ചേപ്പാട്‌ അച്ച്യുതവാരിയര്‍, ദര്‍ ശ്രീജിത്ത്‌ കെ. വാരിയര്‍",കൃമി,8,Vaidyamanorama — full-PDF disease/treatment extraction
